Type,M,N,K,Time_ms,TFLOPS
Square,1024,1024,1024,0.031580159664154055,68.00103833666051
Square,2048,2048,2048,0.2209075164794922,77.76950942090231
Square,4096,4096,4096,1.7156166076660155,80.1105286914754
Square,8192,8192,8192,13.539715576171876,81.20640508217147
Square,16384,16384,16384,107.83931640625,81.56666154180301
Square,32768,32768,32768,861.668984375,81.66563431397617
Fixed_K,1024,1024,8192,0.22228992462158204,77.285865354655
Fixed_K,2048,2048,8192,0.8525004577636719,80.6093135905978
Fixed_K,4096,4096,8192,3.395530090332031,80.95287028280204
Fixed_K,8192,8192,8192,13.542113037109376,81.1920285086245
Fixed_K,16384,16384,8192,54.0904345703125,81.30913619092763
Fixed_K,32768,32768,8192,216.24783203125,81.35196491530029
