Type,M,N,K,Time_ms,TFLOPS
Square,1024,1024,1024,0.023265280723571778,92.30422248136578
Square,2048,2048,2048,0.05989376068115235,286.83904614802793
Square,4096,4096,4096,0.5392076873779297,254.89056756653636
Square,8192,8192,8192,4.377661437988281,251.16415313315593
Square,16384,16384,16384,29.81312744140625,295.0409358929403
Square,32768,32768,32768,235.11435546875,299.29582154764256
Fixed_K,1024,1024,8192,0.07442431926727294,230.83676616918157
Fixed_K,2048,2048,8192,0.22949888229370116,299.43272947210374
Fixed_K,4096,4096,8192,1.1210444641113282,245.1980414192586
Fixed_K,8192,8192,8192,4.399052429199219,249.94283325151218
Fixed_K,16384,16384,8192,17.10107666015625,257.1795097177125
Fixed_K,32768,32768,8192,67.506552734375,260.59968005828694
