Type,M,N,K,Kernel,Execution Time (ms),TFLOP/s,% 4090 peak FP16/16
Fixed_K,1024,1024,8192,Native CUDA,0.0669,256.89,77.77
Fixed_K,1024,1024,8192,PyTorch Eager,0.0704,243.88,73.84
Fixed_K,1024,1024,8192,Torch AOTI,0.0743,231.35,70.04
Fixed_K,1024,1024,8192,Torch JIT,0.1457,117.95,35.71
Fixed_K,1024,1024,8192,MMA MatMul with kernel 3.2,0.1672,102.77,31.11
Fixed_K,2046,2046,8192,Native CUDA,0.2208,310.59,94.03
Fixed_K,2046,2046,8192,PyTorch Eager,0.2251,304.7,92.25
Fixed_K,2046,2046,8192,Torch AOTI,0.2294,298.97,90.52
Fixed_K,2046,2046,8192,Torch JIT,0.7345,93.38,28.27
Fixed_K,2048,2048,8192,MMA MatMul with kernel 3.2,0.3414,201.3,60.94
Fixed_K,4096,4096,8192,Native CUDA,1.063,258.59,78.29
Fixed_K,4096,4096,8192,Torch AOTI,1.0678,257.42,77.94
Fixed_K,4096,4096,8192,Torch JIT,1.0721,256.39,77.62
Fixed_K,4096,4096,8192,PyTorch Eager,1.0735,256.07,77.53
Fixed_K,4096,4096,8192,MMA MatMul with kernel 3.2,1.32,208.24,63.05
Fixed_K,8192,8192,8192,Torch AOTI,4.2889,256.36,77.61
Fixed_K,8192,8192,8192,Torch JIT,4.307,255.28,77.29
Fixed_K,8192,8192,8192,PyTorch Eager,4.3299,253.94,76.88
Fixed_K,8192,8192,8192,Native CUDA,4.3347,253.65,76.79
Fixed_K,8192,8192,8192,MMA MatMul with kernel 3.2,5.43,202.49,61.3
Fixed_K,16384,16384,8192,Torch AOTI,17.029,258.27,78.19
Fixed_K,16384,16384,8192,PyTorch Eager,17.0998,257.2,77.87
Fixed_K,16384,16384,8192,Native CUDA,17.1037,257.14,77.85
Fixed_K,16384,16384,8192,Torch JIT,17.152,256.42,77.63
Fixed_K,16384,16384,8192,MMA MatMul with kernel 3.2,24.24,181.44,54.93
Fixed_K,32768,32768,8192,Torch AOTI,67.5231,260.54,78.88
Fixed_K,32768,32768,8192,PyTorch Eager,67.6111,260.2,78.78
Fixed_K,32768,32768,8192,Native CUDA,67.6335,260.11,78.75
Fixed_K,32768,32768,8192,Torch JIT,68.3141,257.52,77.97
Fixed_K,32768,32768,8192,MMA MatMul with kernel 3.2,102.09,172.32,52.17
Square,1024,1024,1024,Torch JIT,0.0198,108.44,32.83
Square,1024,1024,1024,PyTorch Eager,0.0207,103.61,31.37
Square,1024,1024,1024,Native CUDA,0.0209,102.65,31.08
Square,1024,1024,1024,Torch AOTI,0.0235,91.54,27.71
Square,2046,2046,2046,PyTorch Eager,0.0639,268.07,81.16
Square,2046,2046,2046,Native CUDA,0.0649,264.09,79.95
Square,2046,2046,2046,Torch AOTI,0.0726,235.97,71.44
Square,2046,2046,2046,Torch JIT,0.1936,88.48,26.79
Square,4096,4096,4096,PyTorch Eager,0.5007,274.52,83.11
Square,4096,4096,4096,Torch JIT,0.5015,274.04,82.97
Square,4096,4096,4096,Native CUDA,0.5044,272.5,82.5
Square,4096,4096,4096,Torch AOTI,0.5058,271.72,82.27
Square,4096,4096,4096,MMA MatMul with kernel 3.2,0.6826,201.34,60.96
Square,8192,8192,8192,Torch JIT,4.2776,257.04,77.82
Square,8192,8192,8192,PyTorch Eager,4.3039,255.47,77.34
Square,8192,8192,8192,Native CUDA,4.3396,253.37,76.71
Square,8192,8192,8192,Torch AOTI,4.3523,252.63,76.48
Square,8192,8192,8192,MMA MatMul with kernel 3.2,5.39,203.99,61.76
Square,16384,16384,16384,PyTorch Eager,29.8566,294.61,89.2
Square,16384,16384,16384,Native CUDA,30.0593,292.62,88.59
Square,16384,16384,16384,Torch AOTI,30.062,292.6,88.59
Square,16384,16384,16384,Torch JIT,34.16,257.5,77.96
Square,16384,16384,16384,MMA MatMul with kernel 3.2,45.24,194.43,58.87
Square,32768,32768,32768,PyTorch Eager,235.3655,298.98,90.52
Square,32768,32768,32768,Torch AOTI,235.4252,298.9,90.49
Square,32768,32768,32768,Native CUDA,235.619,298.65,90.42
Square,32768,32768,32768,Torch JIT,273.469,257.32,77.9
Square,32768,32768,32768,MMA MatMul with kernel 3.2,380.85,184.77,55.94
