Type,M,N,K,Time_ms,TFLOPS
Square,1024,1024,1024,0.038962879180908204,55.11614370254922
Square,2046,2046,2046,0.11369471549987793,150.66299780677485
Square,4096,4096,4096,0.8561254119873047,160.53600506141507
Square,8192,8192,8192,7.058196411132813,155.77798685819408
Square,16384,16384,16384,52.266279296875,168.29384338314512
Square,32768,32768,32768,421.8528125,166.8087591040157
Fixed_K,1024,1024,8192,0.11620351791381836,147.84293532955988
Fixed_K,2046,2046,8192,0.4038991928100586,169.80802577700018
Fixed_K,4096,4096,8192,1.7151487731933595,160.26476025879495
Fixed_K,8192,8192,8192,7.208990478515625,152.51950062256094
Fixed_K,16384,16384,8192,25.7057275390625,171.0920846111325
Fixed_K,32768,32768,8192,102.761015625,171.19513599022974
